receive 5 signal | time now: 11.122053861618042 | total fee now: 7
receive 6 signal | time now: 11.45017957687378 | total fee now: 15
receive 7 signal | time now: 11.559446096420288 | total fee now: 15
receive 8 signal | time now: 11.885953426361084 | total fee now: 15
receive 8 signal | time now: 12.103052854537964 | total fee now: 15
receive 8 signal | time now: 12.432837724685669 | total fee now: 15
receive 9 signal | time now: 12.649329900741577 | total fee now: 15
receive 9 signal | time now: 12.867414951324463 | total fee now: 15
receive 10 signal | time now: 13.085772514343262 | total fee now: 15
receive 11 signal | time now: 13.412279605865479 | total fee now: 15
receive 11 signal | time now: 13.627721071243286 | total fee now: 15
receive 11 signal | time now: 13.84762692451477 | total fee now: 15
receive 11 signal | time now: 14.172012329101562 | total fee now: 15
receive 11 signal | time now: 14.392291784286499 | total fee now: 15
receive 11 signal | time now: 14.609966278076172 | total fee now: 15
receive 11 signal | time now: 14.933948516845703 | total fee now: 15
receive 11 signal | time now: 15.258268356323242 | total fee now: 15
receive 11 signal | time now: 15.36645245552063 | total fee now: 15
receive 11 signal | time now: 15.692174434661865 | total fee now: 15
receive 11 signal | time now: 15.909152269363403 | total fee now: 15
receive 11 signal | time now: 16.230533838272095 | total fee now: 15
receive 11 signal | time now: 16.44642400741577 | total fee now: 15
receive 11 signal | time now: 16.66332507133484 | total fee now: 15
receive 11 signal | time now: 16.98540472984314 | total fee now: 25
receive 11 signal | time now: 17.200918674468994 | total fee now: 25
receive 11 signal | time now: 17.417925357818604 | total fee now: 25
receive 11 signal | time now: 17.635745763778687 | total fee now: 25
receive 11 signal | time now: 17.963387727737427 | total fee now: 25
receive 11 signal | time now: 18.182077407836914 | total fee now: 25
receive 11 signal | time now: 18.397592306137085 | total fee now: 25
receive 11 signal | time now: 18.72429895401001 | total fee now: 25
receive 11 signal | time now: 18.9413959980011 | total fee now: 25
receive 11 signal | time now: 19.159311771392822 | total fee now: 25
receive 11 signal | time now: 19.377246141433716 | total fee now: 25
receive 11 signal | time now: 19.702939748764038 | total fee now: 25
receive 11 signal | time now: 19.921352863311768 | total fee now: 25
receive 11 signal | time now: 20.138556241989136 | total fee now: 25
receive 11 signal | time now: 20.46456789970398 | total fee now: 25
receive 11 signal | time now: 20.683948040008545 | total fee now: 25
receive 11 signal | time now: 21.007188081741333 | total fee now: 25
receive 11 signal | time now: 21.223374605178833 | total fee now: 25
receive 11 signal | time now: 21.441929817199707 | total fee now: 25
receive 11 signal | time now: 21.76982855796814 | total fee now: 25
receive 11 signal | time now: 21.989936113357544 | total fee now: 25
receive 11 signal | time now: 22.20688796043396 | total fee now: 25
receive 11 signal | time now: 22.533674716949463 | total fee now: 31
receive 11 signal | time now: 22.86190390586853 | total fee now: 31
receive 11 signal | time now: 22.971105575561523 | total fee now: 31
receive 11 signal | time now: 23.187819719314575 | total fee now: 31
receive 11 signal | time now: 23.513938188552856 | total fee now: 31
receive 12 signal | time now: 23.73127293586731 | total fee now: 31
receive 13 signal | time now: 23.949524879455566 | total fee now: 31
receive 14 signal | time now: 24.275893926620483 | total fee now: 31
receive 14 signal | time now: 24.49628496170044 | total fee now: 31
receive 14 signal | time now: 24.714160919189453 | total fee now: 31
receive 14 signal | time now: 24.932496070861816 | total fee now: 31
receive 15 signal | time now: 25.25756335258484 | total fee now: 31
receive 16 signal | time now: 25.5845468044281 | total fee now: 31
receive 17 signal | time now: 25.805602073669434 | total fee now: 31
receive 17 signal | time now: 26.02401828765869 | total fee now: 31
receive 17 signal | time now: 26.23861002922058 | total fee now: 31
receive 17 signal | time now: 26.45587182044983 | total fee now: 31
receive 18 signal | time now: 26.781366109848022 | total fee now: 31
receive 19 signal | time now: 26.999534130096436 | total fee now: 31
receive 20 signal | time now: 27.32548952102661 | total fee now: 31
receive 20 signal | time now: 27.54396343231201 | total fee now: 31
receive 20 signal | time now: 27.762346506118774 | total fee now: 31
receive 20 signal | time now: 27.97870659828186 | total fee now: 31
receive 21 signal | time now: 28.307157039642334 | total fee now: 43
receive 22 signal | time now: 28.525330781936646 | total fee now: 43
receive 23 signal | time now: 28.74324059486389 | total fee now: 43
receive 23 signal | time now: 29.069029808044434 | total fee now: 43
receive 23 signal | time now: 29.28538942337036 | total fee now: 43
receive 23 signal | time now: 29.505180597305298 | total fee now: 43
receive 24 signal | time now: 29.830883741378784 | total fee now: 43
receive 25 signal | time now: 30.04914164543152 | total fee now: 43
receive 26 signal | time now: 30.267096281051636 | total fee now: 43
receive 26 signal | time now: 30.59309148788452 | total fee now: 43
receive 26 signal | time now: 30.811649084091187 | total fee now: 43
receive 26 signal | time now: 31.02824902534485 | total fee now: 43
